SampleName,VolumeDensity,SurfaceAreaDensity,MeanBreadthDensity,EulerNumberDensity,VoxelCount,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
Scan030_021,0.712,0.085,-0.0002797,4.54E-07,53414.22222,53414.22222,8557.200644,54.92471111,0.4202,0.622222222,37.71111111,90.88888889,50.95555556,98.44444444,53.84444444,104.0888889,63.85735556,74.38455556,78.73815556,63.85735556,74.38455556,78.73815556,33.50662222,22.8144,14.99644444,-16.42193333,9.478866667,7.1138,1.547,2.353888889,1.548777778,63.57777778,73.28888889,80.68888889,17.27413333
Scan030_022,0.688,0.084,-0.0001181,2.12E-06,40718.5614,40718.5614,6624.304474,48.42942105,0.438263158,0.754385965,53.43859649,98.63157895,57.40350877,97.84210526,54.59649123,98.75438596,76.39357895,77.25096491,76.28277193,76.39357895,77.25096491,76.28277193,27.90526316,20.14138596,13.871,-2.645298246,-6.748964912,36.06107018,1.460157895,2.291754386,1.564385965,75.78947368,77.0877193,75.1754386,15.49121053
Scan030_023,0.687,0.095,-0.0001456,-9.03E-06,38645.4,38645.4,6945.356833,50.71118333,0.388333333,0.183333333,49.78333333,96.13333333,62.15,103.0833333,62.16666667,107.4,72.97888333,83.01051667,84.51805,72.97888333,83.01051667,84.51805,29.6573,20.12256667,13.31476667,-8.072633333,-8.561783333,12.71326667,1.523583333,2.451283333,1.65385,71.93333333,82.23333333,83.91666667,15.00553333
Scan030_024,0.705,0.097,-0.0003997,6.80E-07,37181.375,37181.375,6686.960156,48.49917187,0.409109375,0.71875,49.796875,95.53125,53.578125,96.078125,55.9375,98.875,72.83942188,74.9799375,77.44426563,72.83942188,74.9799375,77.44426563,28.07398438,20.1025,13.9699375,2.622046875,-4.319625,7.97934375,1.438140625,2.2651875,1.565203125,72.21875,74.078125,75.734375,15.02604687
Scan030_025,0.687,0.088,-0.0001708,-1.77E-05,42948.01852,42948.01852,7259.189167,50.73303704,0.370055556,-0.333333333,44.33333333,90.53703704,51.98148148,95,53.42592593,98.42592593,67.63561111,72.67648148,76.19490741,67.63561111,72.67648148,76.19490741,29.36803704,20.4277037,13.532,14.59661111,-11.19564815,10.08427778,1.506981481,2.452444444,1.648777778,67.27777778,71.57407407,73.74074074,15.42594444
Scan030_026,0.663,0.093,-0.0002399,-9.07E-06,35587.20635,35587.20635,6569.658159,50.18271429,0.395047619,0.095238095,49.17460317,94.49206349,55.85714286,98.79365079,50.44444444,93.61904762,71.75130159,77.24920635,71.74720635,71.75130159,77.24920635,71.74720635,28.42812698,19.81744444,13.50031746,-0.054746032,-5.615079365,-3.726428571,1.480031746,2.424142857,1.638730159,70.96825397,76.22222222,70.65079365,15.49207937
Scan030_027,0.667,0.089,-6.08E-05,-8.84E-06,40139.78571,40139.78571,6894.724661,46.57710714,0.370875,0.142857143,63.94642857,106.7857143,57.33928571,97.41071429,56.08928571,100.5535714,85.52691071,77.60892857,78.67053571,85.52691071,77.60892857,78.67053571,28.091625,19.48814286,12.89571429,1.353160714,2.494785714,-32.44033929,1.496232143,2.546089286,1.717875,85.01785714,78.41071429,77.46428571,13.78571429
Scan030_028,0.713,0.086,-0.0001176,-5.63E-06,50109.66667,50109.66667,7999.292813,52.60166667,0.400229167,0.3125,51.6875,101.2916667,49.875,99.10416667,50.66666667,96.04166667,76.53716667,74.00835417,73.387375,76.53716667,74.00835417,73.387375,32.65758333,21.22527083,14.71066667,-8.133625,-6.916583333,9.114291667,1.662041667,2.701104167,1.621041667,75.77083333,72.77083333,71.72916667,16.8403125
Scan030_029,0.648,0.089,1.23E-05,-1.23E-05,35290.16129,35290.16129,6236.651726,46.37975806,0.398322581,0.048387097,50.25806452,93.14516129,64.06451613,103.4193548,54.32258065,95.61290323,71.87883871,83.96237097,75.15166129,71.87883871,83.96237097,75.15166129,27.90924194,18.7091129,12.58612903,3.730822581,1.22583871,-3.738741935,1.508887097,2.493193548,1.643322581,70.51612903,84.48387097,74.67741935,14.75804839
Scan030_030,0.668,0.088,-9.66E-05,2.34E-06,38136.01695,38136.01695,6477.73522,47.7410678,0.430186441,0.847457627,53.23728814,97.93220339,57.66101695,97.91525424,49.71186441,94.55932203,75.73320339,77.65655932,72.45844068,75.73320339,77.65655932,72.45844068,28.24128814,19.87933898,13.57518644,6.142694915,-0.821152542,0.672932203,1.479576271,2.479881356,1.684186441,74.71186441,77.40677966,71.93220339,15.27686441
