SampleName,VolumeDensity,SurfaceAreaDensity,MeanBreadthDensity,EulerNumberDensity,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius, Yield Stress 
Scan020_001,0.776,0.129,-0.001,-1.7e-06,34441.65789,7449.385197,62.06622368,0.312263158,0.5,51.59210526,99.02631579,52.90789474,100.0394737,48.93421053,95.78947368,75.51013158,76.67028947,72.48602632,75.51013158,76.67028947,72.48602632,29.79331579,20.15206579,14.57693421,5.042223684,-8.234565789,-16.05768421,1.496671053,2.123644737,1.429026316,74.56578947,76.25,71.65789474,13.72373684,71.34429931640625
Scan020_002,0.786,0.129,-0.001,-4.69e-06,34030.57692,7300.483551,60.64091026,0.325333333,0.461538462,51.58974359,98.75641026,49.74358974,97.25641026,52.67948718,98.69230769,75.23932051,73.54725641,75.23001282,75.23932051,73.54725641,75.23001282,29.18615385,19.97037179,14.51905128,4.402064103,8.777987179,3.436961538,1.46824359,2.074230769,1.422410256,75.38461538,72.19230769,73.07692308,13.76502564,70.3267593383789
Scan020_003,0.754,0.127,-0.001,9.83e-07,29628.36047,6482.806651,56.43416279,0.329302326,0.709302326,51.05813953,94.37209302,51.56976744,97.18604651,57.84883721,100.0697674,72.85630233,74.55283721,79.55237209,72.85630233,74.55283721,79.55237209,27.98031395,18.5972093,13.08676744,-0.386395349,11.17515116,-1.617209302,1.511523256,2.196662791,1.469790698,72.46511628,73.69767442,79.36046512,12.90310465,58.29772567749024
Scan020_004,0.786,0.133,-0.001,7.56e-08,32760.0,7222.895691,59.79423457,0.291530864,0.580246914,55.13580247,102.0864198,50.44444444,95.61728395,57.55555556,101.5925926,79.20444444,72.77990123,79.09734568,79.20444444,72.77990123,79.09734568,28.65018519,19.37795062,14.31738272,7.34762963,0.87482716,4.20391358,1.500654321,2.163382716,1.434987654,79.33333333,71.32098765,77.66666667,12.95059259,62.81663131713867
Scan020_005,0.765,0.128,-0.001,-3.59e-06,35873.875,7759.080319,63.42181944,0.286430556,0.416666667,45.11111111,95.11111111,51.06944444,98.38888889,53.05555556,97.58333333,69.90788889,74.86043056,75.42656944,69.90788889,74.86043056,75.42656944,30.37936111,20.35573611,14.31629167,2.603847222,3.872763889,17.98715278,1.512902778,2.263930556,1.506486111,69.0,72.90277778,74.26388889,13.32868056,64.51860046386719
Scan020_006,0.748,0.126,-0.001,-9.75e-06,37130.92647,8013.831324,65.23330882,0.277838235,0.220588235,47.91176471,97.25,50.55882353,99.04411765,52.95588235,98.54411765,72.80622059,74.78525,76.22242647,72.80622059,74.78525,76.22242647,30.12594118,20.21870588,14.77019118,1.452088235,6.436426471,16.74547059,1.516897059,2.158558824,1.444529412,73.11764706,72.98529412,75.39705882,13.16175,60.04023742675781
Scan020_007,0.776,0.131,-0.001,-1.09e-05,34005.57143,7449.022442,61.18868831,0.294662338,0.233766234,56.02597403,104.961039,53.85714286,98.32467532,46.81818182,91.58441558,80.48409091,76.00224675,68.66228571,80.48409091,76.00224675,68.66228571,28.87193506,19.71375325,14.18490909,4.597597403,1.994935065,31.24667532,1.487974026,2.125584416,1.432584416,80.50649351,74.15584416,66.81818182,13.4068961,73.59368133544922
Scan020_008,0.788,0.12,-0.001,3.51e-06,35926.2027,7242.245041,57.66566216,0.337621622,0.824324324,52.68918919,100.5405405,55.75675676,100.2027027,49.95945946,91.72972973,76.28364865,77.93014865,70.78072973,76.28364865,77.93014865,70.78072973,28.10413514,19.61483784,14.22293243,1.158959459,6.37722973,5.342324324,1.469040541,2.080175676,1.42377027,75.86486486,76.81081081,70.36486486,13.59458108,69.5573501586914
Scan020_009,0.733,0.127,-0.001,2.65e-06,28773.9186,6434.75664,57.61275581,0.31427907,0.73255814,57.26744186,100.9186047,51.77906977,96.93023256,53.58139535,96.84883721,79.33298837,74.55975581,75.13326744,79.33298837,74.55975581,75.13326744,27.8375814,18.57524419,13.39063953,11.63423256,-0.232837209,-4.749662791,1.527395349,2.185732558,1.444895349,79.25581395,73.96511628,74.53488372,13.10075581,57.99103927612305
Scan020_010,0.76,0.13,-0.001,-5.48e-06,33325.14286,7369.449429,61.63188312,0.293454545,0.38961039,49.0,95.54545455,49.7012987,95.22077922,46.5974026,94.22077922,72.3142987,72.43811688,70.21703896,72.3142987,72.43811688,70.21703896,29.07641558,20.30501299,14.36564935,-15.08106494,6.214220779,0.39861039,1.482402597,2.149480519,1.462207792,71.7012987,71.87012987,70.09090909,13.32898701,67.34418487548828
Scan021_001,0.803,0.029,-0.0001453,2.07e-07,826048.5547,49143.1168,133.3364667,0.385133333,1.133333333,45.70533333,162.016,72.708,190.6786667,78.57333333,176.956,102.0763333,135.2742,127.1542667,102.0763333,135.2742,127.1542667,75.12233333,52.27566667,37.27073333,-18.9324,-1.3234,39.51693333,1.464066667,2.539133333,1.693933333,96.05866667,141.764,129.5906667,47.95566667,44.21836853027344
Scan021_002,0.772,0.034,-0.0001319,-4.21e-07,744809.6098,50123.41837,146.464625,0.36975,0.5625,55.8175,168.38625,70.65375,180.00625,91.715,207.5,110.9255,123.491625,149.698375,110.9255,123.491625,149.698375,78.975125,55.0060625,33.3431875,-18.4038125,-12.616125,28.92775,1.470375,2.5258125,1.7566875,111.73875,118.0675,149.1925,46.7913125,48.765228271484375
Scan021_003,0.706,0.036,-9.11e-05,-5.45e-07,436276.0526,33352.61744,122.37168,0.38056,0.48,60.756,155.9736,76.1608,169.1872,69.4544,157.3016,108.2116,122.93256,113.06256,108.2116,122.93256,113.06256,61.6074,43.9166,28.52928,1.70692,-9.79556,33.40804,1.48952,2.49548,1.70784,105.908,118.3248,113.544,37.91444,36.731407165527344
Scan021_004,0.779,0.031,-0.0001648,-4.96e-08,750819.9616,47499.12194,132.6930625,0.3774375,0.875,78.74625,187.995,77.3975,187.89125,66.50375,167.66,133.7571875,133.178625,116.696875,133.7571875,133.178625,116.696875,71.3274375,53.39675,34.2486875,18.7626875,-4.59425,-1.389625,1.3674375,2.5421875,1.8354375,134.14875,134.46,109.66375,48.20925,48.31089401245117
Scan021_005,0.74,0.034,-0.0001227,1.49e-07,519570.4335,37266.46909,128.1077727,0.352136364,0.863636364,65.57,161.0954545,91.82818182,189.24,42.63181818,145.0990909,115.0758182,140.7511818,92.64754545,115.0758182,140.7511818,92.64754545,61.72018182,46.19327273,30.61522727,-4.112863636,6.004409091,-41.09422727,1.418,2.432863636,1.691363636,117.7090909,136.95,91.97909091,41.62577273,19.08048820495605
Scan021_006,0.803,0.031,-0.0001595,7.44e-08,826310.2051,52311.70633,147.7138,0.377333333,0.933333333,66.068,187.248,77.024,191.7853333,83.332,204.4013333,123.8542667,133.968,144.453,123.8542667,133.968,144.453,76.85706667,56.30066667,35.58826667,4.249733333,-6.0772,-17.88686667,1.432,2.410466667,1.658733333,121.18,134.792,145.6373333,47.84506667,47.624267578125
