Features[1, 2, 3, 4], 4 features
Initial linear-valued hyperparameters | Optimal hyperparameters | Logp | RMSE
1.360e+00 4.785e-01 4.317e+03 6.368e+04 2.063e+04 1.420e+00 | 1.406e+00 7.313e-01 1.960e+00 6.164e+04 2.060e+04 2.091e-01 | -338.942 | 10.664
4.264e+00 7.468e+04 3.622e-05 4.369e-05 2.141e-02 1.198e+00 | 9.892e-01 3.714e-01 3.571e-01 1.295e-02 7.587e-01 3.940e-10 | -537.468 | 0.0
3.386e+00 7.202e-01 5.983e+03 2.203e-05 3.581e-01 4.965e+01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
2.366e-01 3.141e+03 8.855e+03 7.332e+02 6.949e-02 1.285e-01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
1.288e+00 1.069e+02 6.902e-02 1.884e+04 4.010e+03 1.495e-01 | 1.406e+00 7.313e-01 1.960e+00 1.883e+04 4.007e+03 2.091e-01 | -338.942 | 10.664
2.081e-01 7.489e-04 6.926e+00 3.632e-05 6.502e-03 8.852e-01 | 9.946e-01 2.846e-05 7.448e+02 3.816e+01 1.496e-03 2.336e-06 | -670.612 | 0.0
4.589e+00 2.628e+00 3.338e+01 2.529e-01 4.991e+01 9.118e+01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.986e+00 1.720e-01 | -313.948 | 9.456
2.211e-01 3.061e+02 2.099e-04 4.573e+04 3.288e-03 3.008e-01 | 1.048e+00 2.150e-05 1.840e-01 4.776e-01 6.306e+04 5.853e-10 | -634.983 | 0.0
1.395e-01 2.002e+04 7.133e-01 5.013e-02 3.358e-02 8.469e+01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.986e+00 1.720e-01 | -313.948 | 9.456
6.915e+01 2.641e+02 6.076e-01 1.580e+02 2.491e+04 5.245e+00 | 1.284e+00 7.183e-01 2.221e+00 3.044e+00 2.476e+04 1.879e-01 | -321.606 | 10.027
2.354e+00 3.224e+03 1.112e-04 2.887e+00 4.185e-03 1.523e+00 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
2.178e+00 1.007e-02 1.477e-04 5.496e-05 1.732e-05 9.604e+01 | 1.000e-05 1.000e-05 1.000e-05 1.000e-05 1.000e-05 1.000e+00 | -676.834 | 23.843
1.695e-01 2.168e+03 3.007e-04 3.868e-01 8.303e-03 5.047e-01 | 9.564e-01 2.166e+03 3.519e-01 3.514e-01 9.539e-01 3.648e-01 | -520.565 | 13.221
4.921e+01 8.011e-02 2.896e+02 6.194e-04 1.197e+04 2.989e-01 | 1.284e+00 7.183e-01 2.221e+00 3.044e+00 1.197e+04 1.879e-01 | -321.606 | 10.027
3.038e+00 5.703e+04 4.533e-05 3.337e-02 3.754e-04 2.448e+00 | 1.027e+00 6.828e-04 9.855e-01 7.787e-01 2.189e+03 6.031e-02 | -608.872 | 2.406
7.556e+01 1.280e+02 1.458e-03 1.163e-05 4.038e-04 1.863e-01 | 8.455e-01 1.280e+02 1.458e-03 1.163e-05 4.038e-04 1.545e-01 | -676.834 | 3.684
9.937e+00 3.501e-02 8.421e+00 6.262e-03 3.822e+03 4.179e+01 | 1.284e+00 7.183e-01 2.221e+00 3.044e+00 3.822e+03 1.879e-01 | -321.606 | 10.027
3.534e+01 1.663e+00 8.211e-01 1.615e-02 4.040e+03 3.544e+00 | 1.284e+00 7.183e-01 2.221e+00 3.044e+00 4.039e+03 1.879e-01 | -321.606 | 10.027
5.418e-01 2.877e-05 9.694e+03 1.483e+00 5.429e+01 3.457e+00 | 1.027e+00 1.611e-05 9.855e-01 7.787e-01 8.788e+04 6.031e-02 | -608.872 | 2.406
